Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
RB50392,Washington,NA,Master,,0,1000.0000000000,1/0/00,Personal Auto,Four-Door Car,2.704934
QZ44356,Arizona,F,Bachelor,697953.59%,0,94.0000000000,1/0/00,Personal Auto,Four-Door Car,1131.464935
AI49188,Nevada,F,Bachelor,1288743.17%,48767,108.0000000000,1/0/00,Personal Auto,Two-Door Car,566.472247
WW63253,California,M,Bachelor,764586.18%,0,106.0000000000,1/0/00,Corporate Auto,SUV,529.881344
GA49547,Washington,M,High School or Below,536307.65%,36357,68.0000000000,1/0/00,Personal Auto,Four-Door Car,17.269323
OC83172,Oregon,F,Bachelor,825629.78%,62902,69.0000000000,1/0/00,Personal Auto,Two-Door Car,159.383042
XZ87318,Oregon,F,College,538089.86%,55350,67.0000000000,1/0/00,Corporate Auto,Four-Door Car,321.6
CF85061,Arizona,M,Master,721610.03%,0,101.0000000000,1/0/00,Corporate Auto,Four-Door Car,363.02968
DY87989,Oregon,M,Bachelor,2412750.40%,14072,71.0000000000,1/0/00,Corporate Auto,Four-Door Car,511.2
BQ94931,Oregon,F,College,738817.81%,28812,93.0000000000,1/0/00,Special Auto,Four-Door Car,425.527834
SX51350,California,M,College,473899.20%,0,67.0000000000,1/0/00,Personal Auto,Four-Door Car,482.4
VQ65197,California,NA,College,819719.71%,0,110.0000000000,1/0/00,Personal Auto,SUV,528
DP39365,California,NA,Master,879879.70%,77026,110.0000000000,1/2/00,Corporate Auto,Four-Door Car,472.029737
SJ95423,Arizona,NA,High School or Below,881901.89%,99845,110.0000000000,1/1/00,Corporate Auto,SUV,528
IL66569,California,NA,College,538443.17%,83689,70.0000000000,1/2/00,Corporate Auto,Four-Door Car,307.139132
BW63560,Oregon,NA,Bachelor,746313.94%,24599,64.0000000000,1/1/00,Corporate Auto,Four-Door Car,42.920271
FV94802,Nevada,NA,High School or Below,256686.78%,25049,67.0000000000,1/0/00,Personal Auto,Two-Door Car,454.245098
OE15005,Cali,NA,College,394524.16%,28855,101.0000000000,1/0/00,Personal Auto,SUV,647.442031
WC83389,Oregon,NA,College,571033.31%,51148,72.0000000000,1/0/00,Personal Auto,Four-Door Car,308.981664
FL50705,California,NA,High School or Below,816261.71%,66140,101.0000000000,1/0/00,Corporate Auto,Four-Door Car,484.8
ZK25313,Oregon,NA,High School or Below,287205.13%,57749,74.0000000000,1/0/00,Personal Auto,Two-Door Car,355.2
QK46697,Washington,M,Bachelors,617710.93%,61040,79.0000000000,1/1/00,Personal Auto,Two-Door Car,20.382876
YH23384,Arizona,NA,Bachelor,2412750.40%,14072,71.0000000000,1/0/00,Personal Auto,Four-Door Car,511.2
TZ98966,Nevada,NA,Bachelor,245019.10%,0,73.0000000000,1/3/00,Corporate Auto,Four-Door Car,554.376763
HM55802,California,NA,Bachelor,239210.79%,17870,61.0000000000,1/0/00,Corporate Auto,Four-Door Car,439.2
FS42516,Oregon,NA,College,580206.60%,97541,72.0000000000,1/0/00,Personal Auto,Four-Door Car,389.185006
US89481,California,NA,Bachelor,394637.21%,0,111.0000000000,1/0/00,Personal Auto,Four-Door Car,799.2
HS14476,Washington,M,College,916206.32%,29723,80.0000000000,1/0/00,Personal Auto,Four-Door Car,20.985105
GE62437,AZ,NA,College,1290256.01%,86584,111.0000000000,1/2/00,Personal Auto,Four-Door Car,532.8
EJ77678,Oregon,NA,Master,323536.05%,75690,80.0000000000,1/1/00,Personal Auto,Four-Door Car,384
SV85652,Arizona,NA,College,245458.35%,23158,63.0000000000,1/1/00,Personal Auto,Four-Door Car,322.294043
UL64533,Nevada,NA,High School or Below,1897545.61%,65999,237.0000000000,1/0/00,Corporate Auto,Luxury SUV,615.927769
PF41800,California,NA,Bachelor,471532.13%,0,65.0000000000,1/0/00,Personal Auto,Four-Door Car,308.15089
HD95276,Washington,F,College,473787.17%,0,130.0000000000,1/0/00,Personal Auto,SUV,23.820158
SK67821,Oregon,NA,Bachelor,493291.63%,37260,62.0000000000,1/0/00,Corporate Auto,Four-Door Car,15.437681
YV55495,Arizona,NA,High School or Below,574422.97%,68987,71.0000000000,1/0/00,Personal Auto,Four-Door Car,204.475147
KY38074,California,NA,Bachelor,1389173.57%,42305,117.0000000000,1/0/00,Personal Auto,Four-Door Car,561.6
DM79012,Oregon,NA,Master,738097.67%,65706,91.0000000000,1/0/00,Personal Auto,Four-Door Car,436.8
CM61827,Oregon,NA,Bachelor,309003.41%,0,90.0000000000,1/0/00,Personal Auto,Two-Door Car,648
WC35801,Arizona,NA,High School or Below,252163.31%,53243,66.0000000000,1/2/00,Personal Auto,Four-Door Car,157.397849
QG25316,Nevada,NA,High School or Below,265206.18%,0,70.0000000000,1/1/00,Corporate Auto,Two-Door Car,484.318536
MB98372,Oregon,NA,College,277104.50%,50071,71.0000000000,1/0/00,Corporate Auto,Two-Door Car,18.918935
IL19217,California,NA,Bachelor,393900.64%,60021,99.0000000000,1/0/00,Personal Auto,Four-Door Car,882.871945
SR38658,Arizona,NA,High School or Below,1223187.97%,43244,103.0000000000,1/0/00,Personal Auto,Sports Car,494.4
YD87931,Washington,M,Doctor,495165.61%,46896,35354.0000000000,1/1/00,Personal Auto,Four-Door Car,31.707317
HG65722,Oregon,NA,Doctor,1281910.29%,10105,172.0000000000,1/3/00,Personal Auto,SUV,0.517753
BU27331,Arizona,NA,Bachelor,446851.05%,0,73.0000000000,1/3/00,Personal Auto,Four-Door Car,579.165954
XM45289,Oregon,NA,High School or Below,551434.40%,23218,71.0000000000,1/0/00,Personal Auto,Two-Door Car,447.79344
KP34198,California,NA,Bachelor,334387.53%,0,92.0000000000,1/0/00,Corporate Auto,Four-Door Car,529.624084
SH90947,Arizona,NA,High School or Below,229447.89%,0,62.0000000000,1/0/00,Personal Auto,Four-Door Car,313.023175
WE95729,Oregon,NA,College,3670742.64%,24804,104.0000000000,1/0/00,Personal Auto,SUV,593.830288
PY51963,California,NA,Bachelor,3347334.95%,33190,106.0000000000,1/0/00,Corporate Auto,SUV,508.8
RB69909,Nevada,NA,High School or Below,798343.17%,36014,69.0000000000,1/3/00,Special Auto,Four-Door Car,173.956072
NW21079,Washington,F,Master,487938.48%,67163,61.0000000000,1/2/00,Personal Auto,Two-Door Car,33.192803
FR46645,California,NA,Bachelor,429399.73%,16701,113.0000000000,1/0/00,Personal Auto,Four-Door Car,831.625979
SY17488,Arizona,NA,College,716439.55%,46623,91.0000000000,1/0/00,Corporate Auto,Four-Door Car,436.8
AP67935,California,NA,College,761951.58%,64749,64.0000000000,1/0/00,Special Auto,Four-Door Car,302.56519
FS37417,Arizona,NA,High School or Below,395800.28%,0,101.0000000000,1/0/00,Personal Auto,SUV,484.8
ML29312,Oregon,NA,High School or Below,449949.33%,16969,124.0000000000,1/2/00,Personal Auto,SUV,704.768111
UB61619,Oregon,NA,Master,405956.74%,11621,108.0000000000,1/0/00,Personal Auto,Four-Door Car,518.4
CD86811,Arizona,NA,Bachelor,445811.34%,17622,65.0000000000,1/1/00,Personal Auto,Four-Door Car,312
RU83859,California,NA,Bachelor,811033.31%,11489,105.0000000000,1/0/00,Personal Auto,Two-Door Car,504
FG63582,Oregon,NA,Bachelor,333976.49%,0,94.0000000000,1/0/00,Personal Auto,Two-Door Car,863.327324
NN71951,California,NA,High School or Below,2426101.78%,66525,100.0000000000,1/0/00,Personal Auto,SUV,104.331355
WB37082,Arizona,NA,Bachelor,661397.37%,0,63.0000000000,1/0/00,Personal Auto,Four-Door Car,676.391482
SM52139,WA,NA,College,293069.35%,33663,73.0000000000,1/0/00,Personal Auto,Four-Door Car,350.4
FL82372,Oregon,NA,College,867219.43%,22547,112.0000000000,1/0/00,Corporate Auto,SUV,537.6
DP45816,AZ,NA,High School or Below,1163866.93%,61486,97.0000000000,1/0/00,Personal Auto,Two-Door Car,465.258644
GW33762,Oregon,NA,Bachelor,684615.03%,0,95.0000000000,1/0/00,Personal Auto,Two-Door Car,456
RZ33670,California,NA,College,1172777.65%,29879,102.0000000000,1/0/00,Personal Auto,Four-Door Car,500.254235
PY70169,Oregon,NA,High School or Below,2264383.48%,93011,113.0000000000,1/0/00,Personal Auto,SUV,281.451042
MO91628,Oregon,NA,Master,261447.43%,65186,65.0000000000,1/0/00,Personal Auto,Two-Door Car,5.434505
HW87852,Oregon,NA,Master,245175.27%,26840,64.0000000000,1/2/00,Personal Auto,Four-Door Car,307.2
HB20453,Oregon,NA,Bachelor,678127.02%,0,104.0000000000,1/1/00,Personal Auto,Sports Car,982.399613
BN87372,Oregon,NA,Bachelor,497480.15%,75644,65.0000000000,1/3/00,Personal Auto,Two-Door Car,467.803638
YX23800,Oregon,NA,Bachelor,859160.49%,38984,73.0000000000,1/0/00,Personal Auto,Four-Door Car,350.4
DZ87709,Oregon,NA,High School or Below,559216.14%,71811,71.0000000000,1/0/00,Personal Auto,Four-Door Car,29.03416
XW13033,Nevada,NA,College,800947.28%,20961,67.0000000000,1/0/00,Personal Auto,Four-Door Car,321.6
SP81997,Washington,F,Master,,41275,96.0000000000,1/0/00,Personal Auto,Four-Door Car,41.122303
OM82309,California,NA,Bachelor,5816655.35%,61321,186.0000000000,1/1/00,Personal Auto,Luxury Car,427.63121
ZU35962,California,NA,College,802522.94%,0,77.0000000000,1/0/00,Personal Auto,Two-Door Car,25.807685
VH85817,California,NA,High School or Below,578018.22%,51066,74.0000000000,1/0/00,Personal Auto,Four-Door Car,787.993313
DT85712,California,NA,Doctor,411853.91%,34378,102.0000000000,1/0/00,Personal Auto,SUV,489.6
YJ88573,Nevada,NA,Master,252307.02%,43072,63.0000000000,1/0/00,Personal Auto,Four-Door Car,302.4
SQ19467,Oregon,NA,College,655421.64%,25222,90.0000000000,1/0/00,Personal Auto,Four-Door Car,475.623251
YB66933,Washington,F,Bachelor,538275.20%,77552,68.0000000000,1/1/00,Corporate Auto,Four-Door Car,45.215059
ET79815,California,NA,College,592672.94%,23091,96.0000000000,1/5/00,Personal Auto,Four-Door Car,460.8
QC35222,California,NA,Bachelor,268347.07%,48269,69.0000000000,1/3/00,Corporate Auto,Four-Door Car,282.151207
CJ15590,Oregon,NA,Bachelor,269518.24%,32720,67.0000000000,1/0/00,Personal Auto,Four-Door Car,321.6
OI48267,California,NA,College,604702.52%,20396,76.0000000000,1/1/00,Personal Auto,Four-Door Car,364.8
JY67916,Oregon,NA,College,1317101.28%,21513,119.0000000000,1/1/00,Personal Auto,Two-Door Car,679.827592
OW15518,Washington,F,College,1595001.95%,0,87.0000000000,1/1/00,Personal Auto,Two-Door Car,46.041452
CZ33664,Oregon,NA,Bachelor,252765.38%,80744,63.0000000000,1/0/00,Corporate Auto,Four-Door Car,11.879037
WK30175,Oregon,NA,Bachelor,267209.58%,52822,67.0000000000,1/0/00,Corporate Auto,Two-Door Car,350.529033
