Customer,Coverage,Sales Channel,Vehicle Size
BU79786,Basic,Agent,Medsize
QZ44356,Extended,Agent,Medsize
AI49188,Premium,Agent,Medsize
WW63253,Basic,Call Center,Medsize
HB64268,Basic,Agent,Medsize
OC83172,Basic,Web,Medsize
XZ87318,Basic,Agent,Medsize
CF85061,Premium,Agent,Medsize
DY87989,Basic,Agent,Medsize
BQ94931,Extended,Branch,Medsize
SX51350,Basic,Agent,Small
VQ65197,Basic,Agent,Medsize
DP39365,Premium,Agent,Medsize
SJ95423,Basic,Branch,Medsize
IL66569,Basic,Call Center,Medsize
BW63560,Basic,Branch,Medsize
FV94802,Basic,Call Center,Medsize
OE15005,Basic,Call Center,Medsize
WC83389,Basic,Branch,Medsize
FL50705,Premium,Call Center,Small
ZK25313,Basic,Branch,Medsize
SV62436,Extended,Call Center,Medsize
YH23384,Basic,Agent,Medsize
TZ98966,Basic,Branch,Medsize
HM55802,Basic,Branch,Medsize
FS42516,Basic,Call Center,Large
US89481,Premium,Agent,Small
HO30839,Extended,Branch,Medsize
GE62437,Premium,Call Center,Large
EJ77678,Extended,Branch,Small
SV85652,Basic,Call Center,Small
UL64533,Extended,Agent,Medsize
PF41800,Basic,Call Center,Medsize
AO98601,Basic,Agent,Small
SK67821,Basic,Web,Medsize
YV55495,Basic,Branch,Medsize
KY38074,Premium,Agent,Small
DM79012,Extended,Web,Small
CM61827,Extended,Agent,Small
WC35801,Basic,Call Center,Medsize
QG25316,Basic,Call Center,Medsize
MB98372,Basic,Agent,Medsize
IL19217,Extended,Agent,Small
SR38658,Basic,Agent,Medsize
DH41343,Basic,Call Center,Large
HG65722,Premium,Branch,Medsize
BU27331,Basic,Call Center,Medsize
XM45289,Basic,Agent,Medsize
KP34198,Extended,Call Center,Medsize
SH90947,Basic,Branch,Medsize
WE95729,Basic,Agent,Small
PY51963,Basic,Web,Medsize
RB69909,Basic,Branch,Medsize
XR95069,Basic,Agent,Medsize
FR46645,Premium,Branch,Small
SY17488,Extended,Call Center,Small
AP67935,Basic,Branch,Medsize
FS37417,Basic,Call Center,Small
ML29312,Extended,Call Center,Medsize
UB61619,Premium,Agent,Medsize
CD86811,Basic,Agent,Medsize
RU83859,Premium,Call Center,Small
FG63582,Extended,Agent,Small
