,id,state,gender,median_home_val,median_household_income,ic2,ic3,ic4,ic5,avggift,target_d
0,44060,FL,M,1158.437751004016,392,430.0,466,520.0,21975.0,28.0,100.0
1,96093,IL,M,537.0,365,415.0,410,473.0,19387.0,5.666666667,7.0
2,43333,FL,F,725.0,301,340.0,361,436.0,18837.0,4.1111111110000005,5.0
3,21885,NC,M,1158.437751004016,401,407.0,399,413.0,14014.0,27.27777778,38.0
4,190108,FL,F,995.0,252,280.0,316,348.0,17991.0,6.0,5.0
5,100640,IL,M,764.0,457,477.0,480,501.0,16022.0,25.57142857,30.0
6,18581,NC,female,775.0,318,364.0,380,419.0,13491.0,4.625,12.0
7,119038,TX,M,890.0,519,525.0,551,560.0,17872.0,6.175,7.0
8,173223,CA,F,1158.437751004016,184,206.0,235,250.0,8708.0,8.818181818,10.0
10,141720,NV,F,1569.0,673,672.0,785,781.0,25775.0,13.0,5.0
11,186272,CA,F,3515.0,521,565.0,549,588.0,20068.0,8.64,10.0
12,154301,Cali,F,1026.0,459,470.0,491,496.0,13803.0,11.25,10.0
13,189722,AP,Male,0.0,0,0.0,0,0.0,0.0,5.727272727000001,6.0
15,73699,MI,F,890.0,463,474.0,512,523.0,9493.0,11.28571429,15.0
16,31977,FL,F,1513.0,521,599.0,615,702.0,28124.0,18.5,28.0
17,44336,FL,F,948.0,330,365.0,368,411.0,17728.0,15.0,15.0
18,127823,TX,F,258.0,64,60.0,93,74.0,4236.0,5.45,6.0
19,150739,CA,U,1951.0,556,578.0,619,625.0,17208.0,9.681818182,12.0
21,114721,OK,F,1040.0,472,609.0,579,656.0,26962.0,11.66666667,15.0
22,111795,AR,F,603.0,208,264.0,288,341.0,12038.0,5.0,5.0
23,64480,IN,F,526.0,277,336.0,317,370.0,12826.0,7.142857143,10.0
24,87259,MT,M,717.0,302,458.0,349,432.0,15614.0,9.7,25.0
25,115823,TX,M,1011.0,593,588.0,650,650.0,17606.0,6.5,15.0
26,95701,IL,M,1063.0,255,260.0,312,317.0,14023.0,8.372790698,5.0
27,5172,IL,M,291.0,136,168.0,180,212.0,8370.0,10.61111111,10.0
28,152486,CA,M,1538.0,271,317.0,342,393.0,15627.0,5.5,5.0
29,153880,WI,F,592.0,244,341.0,306,392.0,12220.0,12.5,5.0
30,101855,MO,M,871.0,340,385.0,365,416.0,15336.0,7.857142857,10.0
31,62932,IN,M,403.0,174,240.0,201,264.0,9704.0,8.0,10.0
32,125930,TX,F,715.0,339,378.0,371,396.0,12617.0,6.0,7.5
33,173653,HI,F,2346.0,420,446.0,468,503.0,14552.0,15.5,21.0
34,11011,FL,M,559.0,232,270.0,257,269.0,10511.0,12.61111111,20.0
35,116894,TX,M,1158.437751004016,368,457.0,450,531.0,33797.0,12.25,20.0
36,154245,CA,F,596.0,164,168.0,181,190.0,5273.0,16.5,15.0
37,134773,UT,M,706.0,362,376.0,379,394.0,10420.0,15.0,25.0
38,26271,GA,F,878.0,310,517.0,433,588.0,22281.0,10.13333333,16.0
39,180292,WA,F,1275.0,405,453.0,500,545.0,20971.0,6.6,10.0
40,10145,CA,F,2362.0,613,632.0,655,678.0,21179.0,8.928571429,5.0
41,133806,ID,U,718.0,226,280.0,278,357.0,17292.0,20.0,15.0
42,112632,CT,M,2531.0,669,730.0,696,750.0,21094.0,8.272727273,11.0
43,143253,CA,F,2089.0,275,296.0,322,356.0,10484.0,7.125,5.0
44,403,AL,J,765.0,408,430.0,441,472.0,15150.0,33.5,35.0
45,189882,ND,F,832.0,310,338.0,348,376.0,11972.0,10.0,10.0
46,119570,TX,M,1458.0,299,354.0,356,446.0,19185.0,6.181818182000001,10.0
47,144021,CA,F,1590.0,240,238.0,262,257.0,7559.0,13.5,15.0
48,93356,IL,F,613.0,212,245.0,294,355.0,11792.0,11.83333333,25.0
49,24711,SC,F,477.0,256,282.0,292,316.0,10621.0,5.875,10.0
50,74914,IA,F,424.0,192,256.0,230,256.0,9497.0,4.8636363639999995,6.0
51,6909,CO,M,383.0,252,256.0,359,380.0,14045.0,13.82352941,15.0
52,124543,TX,M,688.0,422,466.0,457,490.0,16561.0,11.06666667,18.0
53,163018,CA,M,3500.0,351,260.0,463,407.0,26034.0,15.66666667,24.0
54,190671,CA,F,2143.0,280,353.0,328,373.0,12935.0,9.260869565,14.0
55,33356,FL,F,625.0,246,466.0,362,536.0,19102.0,14.09090909,20.0
56,151600,Cali,M,1560.0,500,488.0,487,485.0,13816.0,15.0,21.0
57,21259,NC,female,716.0,146,339.0,227,382.0,11136.0,12.47826087,15.0
58,128987,TX,F,1247.0,215,313.0,350,444.0,16891.0,26.33333333,41.0
59,108926,LA,M,611.0,265,323.0,302,337.0,12313.0,15.0,20.0
60,154709,Cali,F,1431.0,291,390.0,315,376.0,10498.0,13.0,5.0
61,108050,LA,F,1089.0,431,520.0,480,538.0,16777.0,5.2,16.0
62,187274,IA,F,435.0,244,298.0,281,329.0,10692.0,15.0,15.0
63,171655,Cali,F,1409.0,321,405.0,377,428.0,15611.0,12.66666667,12.0
64,160488,OR,M,647.0,369,422.0,401,463.0,18492.0,9.5,10.0
65,21305,NC,M,415.0,199,308.0,242,300.0,11449.0,8.333333332999999,10.0
66,98470,IL,F,492.0,172,384.0,276,399.0,13218.0,8.75,14.0
67,140586,TX,M,1043.0,610,682.0,731,788.0,49744.0,13.25,20.0
68,158101,Cali,M,3668.0,690,693.0,781,780.0,32964.0,15.0,15.0
69,150043,Cali,M,3491.0,791,828.0,853,903.0,32718.0,20.0,20.0
70,96251,IL,F,192.0,164,211.0,186,224.0,7361.0,5.8666666670000005,10.0
71,188547,Cali,M,0.0,0,0.0,0,0.0,0.0,20.26086957,25.0
72,180617,WA,male,824.0,225,308.0,293,383.0,13090.0,7.483333332999999,11.0
73,86000,SD,F,428.0,205,318.0,245,309.0,11192.0,11.25,10.0
74,13265,AL,F,417.0,122,283.0,160,250.0,9715.0,7.75,11.0
75,71,TN,F,399.0,307,315.0,336,352.0,11428.0,6.818181817999999,16.0
76,148969,Cali,F,2377.0,633,637.0,652,663.0,19545.0,9.111111111,10.0
77,156324,Cali,F,2016.0,431,465.0,459,497.0,17882.0,8.75,15.0
78,130976,CO,F,933.0,289,332.0,349,379.0,14104.0,8.142857142999999,7.0
79,140141,NM,F,619.0,215,222.0,260,268.0,10427.0,12.8,14.0
80,85416,Cali,F,3303.0,533,568.0,586,614.0,24251.0,14.0,25.0
81,108150,LA,F,960.0,479,526.0,548,613.0,19518.0,15.2,20.0
82,129823,CO,M,1236.0,622,630.0,727,737.0,25882.0,6.076923077000001,10.0
83,104413,AZ,M,473.0,164,179.0,207,215.0,9819.0,5.5,6.0
84,60512,IL,F,1055.0,366,462.0,379,400.0,11289.0,20.8,25.0
85,90480,IL,F,1509.0,545,617.0,599,680.0,23170.0,9.0,11.0
86,148911,Cali,F,1953.0,454,526.0,478,564.0,21667.0,15.5,10.0
87,52990,TN,M,927.0,299,322.0,372,410.0,14428.0,5.0,26.0
88,148022,Cali,F,2098.0,305,311.0,352,368.0,13564.0,6.076923077000001,10.0
89,147406,Cali,M,5209.0,1054,1220.0,1058,1128.0,52654.0,30.94117647,38.0
90,103468,MO,F,476.0,219,280.0,272,319.0,10966.0,7.1,15.0
91,84100,MN,M,1515.0,648,684.0,717,781.0,25787.0,14.0,14.0
92,137548,AZ,M,2158.0,411,516.0,535,640.0,33235.0,7.933333332999999,9.0
93,6932,MO,M,1110.0,460,544.0,538,624.0,21875.0,7.264705882,10.0
94,37118,FL,F,581.0,349,361.0,359,373.0,9667.0,9.857142857000001,15.0
95,109179,LA,M,563.0,259,301.0,308,342.0,10726.0,10.18181818,14.0
96,140642,NM,F,740.0,240,288.0,294,324.0,10701.0,5.0,5.0
97,77057,IA,F,516.0,332,378.0,347,379.0,13293.0,12.33333333,15.0
98,83131,MN,M,575.0,249,282.0,290,316.0,9843.0,10.0,20.0
99,168078,Cali,M,2357.0,511,540.0,570,609.0,23786.0,13.66666667,19.0
100,32975,SC,M,645.0,304,360.0,306,376.0,6826.0,10.875,25.0
101,37472,FL,M,825.0,233,239.0,290,301.0,9747.0,20.0,20.0
102,63113,IN,M,531.0,246,278.0,272,290.0,10423.0,5.375,5.0
103,57039,KY,F,195.0,131,148.0,159,179.0,5727.0,4.302325581,5.0
104,58786,KY,F,423.0,293,297.0,274,279.0,10343.0,6.055555556,20.0
