,id,state,gender,median_home_val,median_household_income,ic2,ic3,ic4,ic5,avggift,target_d,ic2_
0,44060,FL,Male,1158.437751004016,392,430.0,466,520.0,21975.0,28.0,100.0,Moderate
1,96093,IL,Male,537.0,365,415.0,410,473.0,19387.0,5.666666667,7.0,Moderate
2,43333,FL,Female,725.0,301,340.0,361,436.0,18837.0,4.1111111110000005,5.0,Low
3,21885,NC,Male,1158.437751004016,401,407.0,399,413.0,14014.0,27.27777778,38.0,Moderate
4,190108,FL,Female,995.0,252,280.0,316,348.0,17991.0,6.0,5.0,Low
5,100640,IL,Male,764.0,457,477.0,480,501.0,16022.0,25.57142857,30.0,Moderate
6,18581,NC,Female,775.0,318,364.0,380,419.0,13491.0,4.625,12.0,Low
7,119038,TX,Male,890.0,519,525.0,551,560.0,17872.0,6.175,7.0,Moderate
8,173223,CA,Female,1158.437751004016,184,206.0,235,250.0,8708.0,8.818181818,10.0,Low
9,141720,NV,Female,1569.0,673,672.0,785,781.0,25775.0,13.0,5.0,Moderate
10,186272,CA,Female,3515.0,521,565.0,549,588.0,20068.0,8.64,10.0,Moderate
11,154301,Cali,Female,1026.0,459,470.0,491,496.0,13803.0,11.25,10.0,Moderate
12,189722,AP,Male,0.0,0,0.0,0,0.0,0.0,5.727272727000001,6.0,Low
13,73699,MI,Female,890.0,463,474.0,512,523.0,9493.0,11.28571429,15.0,Moderate
14,31977,FL,Female,1513.0,521,599.0,615,702.0,28124.0,18.5,28.0,Moderate
15,44336,FL,Female,948.0,330,365.0,368,411.0,17728.0,15.0,15.0,Low
16,127823,TX,Female,258.0,64,60.0,93,74.0,4236.0,5.45,6.0,Low
17,150739,CA,U,1951.0,556,578.0,619,625.0,17208.0,9.681818182,12.0,Moderate
18,114721,OK,Female,1040.0,472,609.0,579,656.0,26962.0,11.66666667,15.0,Moderate
19,111795,AR,Female,603.0,208,264.0,288,341.0,12038.0,5.0,5.0,Low
20,64480,IN,Female,526.0,277,336.0,317,370.0,12826.0,7.142857143,10.0,Low
21,87259,MT,Male,717.0,302,458.0,349,432.0,15614.0,9.7,25.0,Moderate
22,115823,TX,Male,1011.0,593,588.0,650,650.0,17606.0,6.5,15.0,Moderate
23,95701,IL,Male,1063.0,255,260.0,312,317.0,14023.0,8.372790698,5.0,Low
24,5172,IL,Male,291.0,136,168.0,180,212.0,8370.0,10.61111111,10.0,Low
25,152486,CA,Male,1538.0,271,317.0,342,393.0,15627.0,5.5,5.0,Low
26,153880,WI,Female,592.0,244,341.0,306,392.0,12220.0,12.5,5.0,Low
27,101855,MO,Male,871.0,340,385.0,365,416.0,15336.0,7.857142857,10.0,Moderate
28,62932,IN,Male,403.0,174,240.0,201,264.0,9704.0,8.0,10.0,Low
29,125930,TX,Female,715.0,339,378.0,371,396.0,12617.0,6.0,7.5,Moderate
30,173653,HI,Female,2346.0,420,446.0,468,503.0,14552.0,15.5,21.0,Moderate
31,11011,FL,Male,559.0,232,270.0,257,269.0,10511.0,12.61111111,20.0,Low
32,116894,TX,Male,1158.437751004016,368,457.0,450,531.0,33797.0,12.25,20.0,Moderate
33,154245,CA,Female,596.0,164,168.0,181,190.0,5273.0,16.5,15.0,Low
34,134773,UT,Male,706.0,362,376.0,379,394.0,10420.0,15.0,25.0,Moderate
35,26271,GA,Female,878.0,310,517.0,433,588.0,22281.0,10.13333333,16.0,Moderate
36,180292,WA,Female,1275.0,405,453.0,500,545.0,20971.0,6.6,10.0,Moderate
37,10145,CA,Female,2362.0,613,632.0,655,678.0,21179.0,8.928571429,5.0,Moderate
38,133806,ID,U,718.0,226,280.0,278,357.0,17292.0,20.0,15.0,Low
39,112632,CT,Male,2531.0,669,730.0,696,750.0,21094.0,8.272727273,11.0,Moderate
