,response,coverage,education,policy_type,policy,vehicle_size,year,month,day,unnamed:_0,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
0,0,0,1,1,5,1,2011,2,24,0,2763.519279,56274,69,32,5,0,1,384.811147
1,0,1,1,0,2,1,2011,1,31,1,6979.535903,0,94,13,42,0,8,1131.464935
2,0,2,1,0,2,1,2011,2,19,2,12887.43165,48767,108,18,38,0,2,566.472247
3,0,0,1,1,4,1,2011,1,20,3,7645.861827,0,106,18,65,0,7,529.881344
4,0,0,1,0,0,1,2011,2,3,4,2813.692575,43836,73,12,44,0,1,138.130879
5,1,0,1,0,2,1,2011,1,25,5,8256.2978,62902,69,14,94,0,2,159.383042
6,1,0,2,1,5,1,2011,2,24,6,5380.898636,55350,67,0,13,0,9,321.6
7,0,2,3,1,5,1,2011,1,18,7,7216.100311,0,101,0,68,0,4,363.02968
8,1,0,1,1,5,1,2011,1,26,8,24127.50402,14072,71,13,3,0,2,511.2
9,0,1,2,2,7,1,2011,2,17,9,7388.178085,28812,93,17,7,0,8,425.527834
10,0,0,2,0,2,0,2011,2,21,10,4738.992022,0,67,23,5,0,3,482.4
11,0,0,2,0,2,1,2011,1,6,11,8197.197078,0,110,27,87,0,3,528.0
12,0,2,3,1,3,1,2011,2,6,12,8798.797003,77026,110,9,82,2,3,472.029737
13,1,0,0,1,5,1,2011,1,10,13,8819.018934,99845,110,23,25,1,8,528.0
14,0,0,2,1,5,1,2011,1,18,14,5384.431665,83689,70,21,10,2,8,307.139132
15,0,0,1,1,4,1,2011,1,17,15,7463.139377,24599,64,12,50,1,2,42.920271
16,0,0,0,0,2,1,2011,2,6,16,2566.867823,25049,67,14,7,0,1,454.245098
17,0,0,2,0,1,1,2011,1,5,17,3945.241604,28855,101,12,59,0,1,647.442031
18,0,0,2,0,1,1,2011,2,27,18,5710.333115,51148,72,9,1,0,7,308.981664
19,0,2,0,1,4,0,2011,1,14,19,8162.617053,66140,101,11,21,0,3,484.8
20,0,0,0,0,1,1,2011,2,19,20,2872.051273,57749,74,31,21,0,1,355.2
21,0,1,1,0,2,1,2011,1,21,21,3041.791561,13789,79,8,49,0,1,379.2
22,1,0,1,0,2,1,2011,1,26,22,24127.50402,14072,71,13,3,0,2,511.2
23,0,0,1,1,5,1,2011,2,24,23,2450.190996,0,73,4,44,3,1,554.376763
24,0,0,1,1,4,1,2011,2,5,24,2392.10789,17870,61,30,91,0,1,439.2
25,0,0,2,0,2,2,2011,1,29,25,5802.065978,97541,72,22,1,0,3,389.185006
26,0,2,1,0,2,0,2011,2,28,26,3946.372085,0,111,15,47,0,1,799.2
27,0,1,3,1,3,1,2011,2,12,27,5346.916576,10511,139,33,64,0,1,516.237951
28,0,2,2,0,2,2,2011,2,2,28,12902.56014,86584,111,33,54,2,2,532.8
29,0,1,3,0,2,0,2011,2,7,29,3235.360468,75690,80,17,44,1,1,384.0
30,0,0,2,0,1,0,2011,2,28,30,2454.58354,23158,63,4,6,1,1,322.294043
31,0,1,0,1,4,1,2011,1,22,31,18975.45611,65999,237,1,14,0,6,615.927769
32,0,0,1,0,2,1,2011,1,25,32,4715.321344,0,65,19,56,0,3,308.15089
33,0,0,1,1,4,0,2011,1,18,33,5018.885233,54500,63,28,17,0,6,302.4
34,0,0,1,1,3,1,2011,2,13,34,4932.916345,37260,62,19,42,0,8,15.437681
35,0,0,0,0,0,1,2011,1,15,35,5744.229745,68987,71,11,40,0,6,204.475147
36,0,2,1,0,2,0,2011,1,8,36,13891.73567,42305,117,10,62,0,2,561.6
37,0,1,3,0,2,0,2011,2,6,37,7380.976717,65706,91,19,86,0,8,436.8
38,0,1,1,0,1,0,2011,1,25,38,3090.034104,0,90,7,79,0,1,648.0
